Var1,Freq
ABCA1,6
ABCA12,5
ABCA3,5
ABCA4,8
ABCC2,4
ABCC6,34
ABCC8,24
ABCC9,4
ABHD14A-ACY1,2
ABL1,2
AC001226.2,6
AC004691.2,1
AC005670.2,1
AC005833.2,1
AC007192.1,8
AC008575.1,2
AC008878.3,1
AC009133.6,2
AC009163.2,2
AC009690.1,13
AC010422.3,1
AC010616.2,71
AC011448.1,2
AC011455.2,3
AC011462.1,21
AC012254.2,2
AC012476.1,3
AC013394.1,1
AC019257.8,11
AC020636.2,2
AC022414.1,1
AC048338.1,1
AC058822.1,11
AC068234.1,10
AC068533.4,7
AC068580.4,5
AC068831.7,1
AC073082.1,3
AC079594.2,6
AC092143.1,27
AC093512.2,2
AC093525.2,17
AC093899.2,6
AC096887.1,2
AC104389.5,4
AC104472.3,2
AC106886.5,1
AC113554.1,1
AC126283.2,5
AC135050.2,3
AC138894.1,16
AC244197.3,25
ACAD8,7
ACAD9,4
ACADM,20
ACADS,10
ACADSB,1
ACADVL,13
ACE,1
ACTA1,14
ACTA2,9
ACTB,10
ACTC1,3
ACTG1,9
ACTG2,10
ACTN1,2
ACTN2,2
ACVR1,5
ACVRL1,53
ACY1,2
ADSL,1
AFG3L2,3
AKT1,1
AKT2,1
AKT3,2
AL021546.1,1
AL022238.4,1
AL049629.2,2
AL117348.2,4
AL133352.1,3
AL139011.2,1
AL358113.1,2
AL512506.3,1
AL590132.1,9
AL590764.2,18
ALDOA,2
ALG9,2
ALK,3
ALOX12B,2
ALOXE3,2
ALX3,3
ALX4,3
AMPD2,1
AMPD3,1
ANK2,1
ANO3,1
ANTXR1,1
ANTXR2,1
AP000812.4,3
AP001273.2,3
AP001781.2,2
AP002748.4,4
AP002884.3,7
AP002990.1,1
AP003108.2,1
AP2S1,3
APC,8
AQP1,1
AQP2,2
AQP5,1
AR,18
ARAF,3
ARHGEF18,1
ARID1A,1
ARID1B,1
ARSA,13
ARSB,14
ARSE,4
ARSG,1
ARX,6
ASL,7
ATL1,1
ATL3,1
ATN1,1
ATP1A1,2
ATP1A2,8
ATP1A3,71
ATP2A2,4
ATP2C1,3
ATP7A,12
ATP7B,22
ATRX,1
AUH,1
AVPR2,7
BBS1,4
BBS5,6
BCHE,1
BCKDHA,21
BCOR,1
BMP1,1
BMP15,1
BMP4,1
BMPR1A,8
BMPR1B,7
BMPR2,42
BRAF,42
BTK,3
C1QC,1
C1R,2
C1S,1
CACNA1A,7
CACNA1C,4
CACNA1D,2
CACNA1E,3
CACNA1F,3
CACNA1G,6
CACNA1H,2
CACNA1S,4
CALM1,1
CALM2,4
CALM3,3
CAMK2A,3
CAMK2B,2
CAPN3,3
CASK,1
CD40,1
CD59,2
CDC42,1
CDH3,1
CERS1,5
CFI,5
CHAT,1
CHD1,1
CHD2,2
CHD3,4
CHD4,5
CHD7,2
CHRNA1,1
CHRNB1,1
CHRNB2,1
CHRND,3
CHRNE,6
CHRNG,2
CHST3,1
CHST6,1
CLCN1,10
CLCN2,4
CLCN4,6
CLCN5,8
CLCN7,3
CLCNKA,1
CLCNKB,1
CLDN14,1
CLN3,16
CLN5,6
CLN8,11
CLRN1,2
CNGA1,2
CNGA3,4
COL10A1,1
COL11A1,8
COL11A2,5
COL12A1,1
COL17A1,2
COL1A1,114
COL1A2,101
COL27A1,2
COL2A1,72
COL3A1,241
COL4A1,29
COL4A2,6
COL4A3,41
COL4A4,33
COL4A5,136
COL5A1,10
COL5A2,8
COL6A1,16
COL6A2,22
COL6A3,1
COL7A1,3
COL9A3,1
COQ8A,1
COQ8B,1
CORO7-PAM16,1
CP,8
CRAT,1
CRB1,13
CRB2,4
CREBBP,1
CRX,3
CRYAA,4
CRYAB,3
CRYBB2,1
CRYBB3,1
CRYGC,1
CSF1R,16
CTNNB1,7
CTSD,5
CTSF,1
CUBN,1
CYP11B1,8
CYP11B2,1
CYP17A1,7
CYP1B1,1
CYP21A2,2
CYP24A1,1
CYP27A1,10
CYP27B1,7
DCAF8,1
DDR2,4
DES,12
DGUOK,3
DHCR7,6
DHH,1
DLL4,4
DLX3,1
DLX5,1
DMBX1,1
DNAJB6,1
DNAJC6,1
DNM1,4
DNM1L,4
DNM2,3
DSE,2
DTNA,1
DYNC2H1,2
ECE1,1
ECEL1,5
ECHS1,1
EFEMP1,2
EFEMP2,4
EGFR,13
EGR2,2
EHMT1,1
EIF2AK3,1
EIF2AK4,1
ELOVL4,1
ELOVL5,1
EMP2,1
EPB42,2
ERBB2,10
ERBB3,1
ERBB4,1
ERF,2
ESR1,3
ESRRB,2
EZH2,1
F13A1,3
F5,2
F7,4
F8,31
F9,15
FBLN5,8
FBN1,101
FBN2,18
FGD1,4
FGD4,3
FGF17,1
FGF8,1
FGF9,1
FGFR1,26
FGFR2,34
FGFR3,21
FGFR4,4
FLI1,2
FLNA,5
FLNB,4
FLNC,2
FLT3,24
FLT4,4
FN1,2
FOXC1,7
FOXC2,2
FOXE1,3
FOXE3,2
FOXF1,1
FOXG1,1
FOXL2,4
FOXP1,2
FOXP3,1
FPGT-TNNI3K,1
FRMD7,2
FSBP,2
FSHR,10
FXYD2,1
FXYD6-FXYD2,1
FZD6,1
GAA,2
GABRA1,4
GABRB1,1
GABRB2,8
GABRB3,9
GABRG2,2
GALE,2
GALNS,18
GANAB,1
GATA1,4
GATA2,7
GATA3,2
GATA4,6
GATA5,2
GATA6,5
GATC,1
GCDH,21
GDF1,5
GDF5,2
GDF6,1
GFAP,47
GHRHR,1
GJA1,9
GJA3,5
GJA5,2
GJA8,10
GJB1,31
GJB2,37
GJB3,6
GJB4,5
GJB6,2
GJC2,4
GLA,3
GLDN,1
GLI2,1
GLIS2,1
GLIS3,1
GLRA1,8
GLUD1,1
GLUD2,1
GNA11,4
GNA14,1
GNAI2,3
GNAI3,1
GNAO1,4
GNAQ,5
GNAT1,1
GNB1,1
GNB4,1
GNRHR,6
GOSR2,1
GRIA3,4
GRIA4,4
GRIK4,1
GRIN1,14
GRIN2A,17
GRIN2B,15
GRIN2D,1
GUCY2C,2
GUCY2D,2
H3F3A,1
HBA1,16
HBA2,12
HBB,25
HBD,3
HBG2,4
HECW2,3
HERC1,1
HESX1,2
HEXA,36
HEXB,6
HIST1H3I,2
HMX1,1
HNF1A,4
HNF1B,3
HNF4A,1
HNRNPA1,2
HNRNPA2B1,1
HNRNPDL,3
HOXA13,1
HRAS,35
HSD11B2,3
HSD3B2,2
HSD3B7,1
HSPB1,5
HSPB8,4
HSPG2,1
IDH1,6
IDH2,5
IDS,25
IER3IP1,2
IFIH1,2
IFT80,6
IHH,1
IKBKG,1
IL2RG,19
INA,1
INPP5E,2
INPPL1,1
INS,14
INS-IGF2,14
INSR,7
IRF1,1
ITGB2,1
