Var1,Freq,,Var1,Freq,,Var1,Freq,,Var1,Freq,,Var1,Freq,,Var1,Freq,,Var1,Freq,,Var1,Freq
COL3A1,226,,HBA2,11,,GJB4,5,,ATP2C1,3,,COL27A1,2,,ZAP70,2,,GLUD2,1,,POMT2,1
COL4A5,116,,PAX6,11,,GNAQ,5,,BTK,3,,CYP21A2,2,,ACADSB,1,,GNA14,1,,PRKAG2,1
SCN1A,110,,RET,11,,IDH2,5,,CACNA1C,3,,DLL4,2,,ACTN1,1,,GNAI3,1,,PRKAG3,1
COL1A1,105,,ACADVL,10,,KCNJ10,5,,CACNA1E,3,,EFEMP1,2,,AFG3L2,1,,GNAT1,1,,PRRX1,1
COL1A2,97,,ACTG2,10,,KCNJ5,5,,CACNA1F,3,,EFEMP2,2,,AKT1,1,,GNB1,1,,PTH1R,1
KCNQ1,76,,CYP27A1,10,,KRT86,5,,CALM3,3,,EGR2,2,,AKT2,1,,GNB4,1,,PTPN11,1
KCNQ2,75,,DES,10,,LBR,5,,CAMK2A,3,,EPB42,2,,AMPD2,1,,GRIK4,1,,PTPN12,1
COL2A1,58,,KRT14,10,,MYH7,5,,CLCN7,3,,ERF,2,,AMPD3,1,,GRIN2D,1,,PYGL,1
SCN2A,53,,NOTCH3,10,,MYO15A,5,,COL7A1,3,,F5,2,,ANTXR1,1,,GUCY2C,1,,PYGM,1
SCN5A,51,,ACADS,9,,PAH,5,,CRB2,3,,FGD1,2,,ANTXR2,1,,H3F3A,1,,RAC1,1
SCN8A,49,,ACTA2,9,,PAX2,5,,CRX,3,,FLI1,2,,AQP5,1,,HECW2,1,,RAD54L,1
SCN4A,45,,ACTB,9,,PAX8,5,,CRYAB,3,,FLNC,2,,ARID1A,1,,HEXB,1,,RERE,1
TP53,42,,ACTG1,9,,PDHA1,5,,DGUOK,3,,FN1,2,,ARID1B,1,,HNF4A,1,,RHO,1
ATP1A3,41,,CLCN1,9,,SCN11A,5,,DNM2,3,,FOXC2,2,,ARSG,1,,HNRNPA2B1,1,,ROS1,1
BRAF,39,,COL5A1,9,,SERPING1,5,,ESR1,3,,FOXE1,2,,ATL1,1,,HSD3B2,1,,RPGRIP1,1
GFAP,39,,GABRB3,9,,SLC26A2,5,,F13A1,3,,FOXE3,2,,ATL3,1,,HSD3B7,1,,RPGRIP1L,1
ACVRL1,38,,GJA1,9,,SLC26A3,5,,FGD4,3,,FOXL2,2,,ATN1,1,,IHH,1,,RPS6KA3,1
BMPR2,37,,KRT10,9,,SMAD4,5,,FLNA,3,,GABRA1,2,,ATRX,1,,IKBKG,1,,RRAS2,1
COL4A3,35,,KRT12,9,,SRY,5,,GNAI2,3,,GABRG2,2,,AUH,1,,INPPL1,1,,RSPO2,1
FBN1,35,,LHCGR,9,,TUBB2A,5,,GNRHR,3,,GALE,2,,BCHE,1,,ITK,1,,RSPO4,1
HRAS,35,,RS1,9,,VDR,5,,HNF1A,3,,GATA3,2,,BMP15,1,,JAK1,1,,SAMD9,1
KRAS,35,,TGM1,9,,ABCC2,4,,HNRNPDL,3,,GATA5,2,,BMP4,1,,KCNA1,1,,SAMD9L,1
GJB2,34,,ABCA4,8,,ACAD8,4,,HSD11B2,3,,GDF5,2,,C1QC,1,,KCNA2,1,,SCN10A,1
KIT,34,,ATP1A2,8,,ACAD9,4,,HSPB1,3,,GJA5,2,,C1S,1,,KCNB1,1,,SCO1,1
COL4A4,33,,BMPR1A,8,,ATP2A2,4,,KCNC1,3,,GJB6,2,,CALM1,1,,KCNC3,1,,SERPINF2,1
LDLR,33,,COL5A2,8,,BMPR1B,4,,KCNQ5,3,,GLA,2,,CD40,1,,KCND3,1,,SGCD,1
LMNA,31,,GJA8,8,,CALM2,4,,KRT3,3,,GUCY2D,2,,CDC42,1,,KCNH1,1,,SGCG,1
