Var1,Freq,,Var1,Freq,,Var1,Freq
OPN1LW,1,,SLC1A1,1,,TRPV4,1
OPN1MW,1,,SLC1A2,1,,TSHB,1
OPN1SW,1,,SLC1A3,1,,TUBA3E,1
OPTN,1,,SLC1A4,1,,TUBB6,1
PAX4,1,,SLC22A12,1,,VIM,1
PHKA1,1,,SLC22A5,1,,VLDLR,1
PHKA2,1,,SLC25A13,1,,VSX1,1
PHOX2B,1,,SLC26A1,1,,WNT4,1
PITX1,1,,SLC2A9,1,,WNT7A,1
PITX2,1,,SLC52A3,1,,ZBTB18,1
POMT1,1,,SLC5A2,1,,ZBTB42,1
POMT2,1,,SLC6A8,1,,,
PRKAG2,1,,SMAD2,1,,,
PRKAG3,1,,SMAD3,1,,,
PRRX1,1,,SMAD6,1,,,
PTH1R,1,,SMO,1,,,
PTPN11,1,,SOX3,1,,,
PTPN12,1,,SPG7,1,,,
PYGL,1,,SPTAN1,1,,,
PYGM,1,,SPTB,1,,,
RAC1,1,,SPTBN2,1,,,
RAD54L,1,,STAT5B,1,,,
RERE,1,,SYNGAP1,1,,,
RHO,1,,TARDBP,1,,,
ROS1,1,,TBX22,1,,,
RPGRIP1,1,,TBX5,1,,,
RPGRIP1L,1,,TBXAS1,1,,,
RPS6KA3,1,,TCF12,1,,,
RRAS2,1,,TECTA,1,,,
RSPO2,1,,TGFB1,1,,,
RSPO4,1,,TGFB2,1,,,
SAMD9,1,,THRA,1,,,
SAMD9L,1,,TMPRSS6,1,,,
SCN10A,1,,TNFRSF11B,1,,,
SCO1,1,,TNNC1,1,,,
SERPINF2,1,,TNNI2,1,,,
SGCD,1,,TNNI3,1,,,
SGCG,1,,TPM1,1,,,
SH3PXD2B,1,,TPM3,1,,,
