external_gene_name,number_of_paralogues,paralogue
A1BG,25,Yes
A1CF,37,Yes
A2M,8,Yes
A2ML1,8,Yes
A3GALT2,3,Yes
A4GALT,1,Yes
A4GNT,1,Yes
AACS,13,Yes
AADAC,5,Yes
AADACL2,5,Yes
AADACL3,5,Yes
AADACL4,5,Yes
AADAT,8,Yes
AAK1,2,Yes
AAMP,1,Yes
AARD,3,Yes
AARS,3,Yes
AARS2,3,Yes
AARSD1,3,Yes
AASDH,13,Yes
AATK,1,Yes
ABAT,4,Yes
ABCA1,11,Yes
ABCA10,11,Yes
ABCA12,11,Yes
ABCA13,11,Yes
ABCA2,11,Yes
ABCA3,11,Yes
ABCA4,11,Yes
ABCA5,11,Yes
ABCA6,11,Yes
ABCA7,11,Yes
ABCA8,11,Yes
ABCA9,11,Yes
ABCB1,11,Yes
ABCB10,11,Yes
ABCB11,11,Yes
ABCB4,11,Yes
ABCB5,11,Yes
ABCB6,11,Yes
ABCB7,11,Yes
ABCB8,11,Yes
ABCB9,11,Yes
ABCC1,11,Yes
ABCC10,11,Yes
ABCC11,11,Yes
ABCC12,11,Yes
ABCC2,11,Yes
ABCC3,11,Yes
ABCC4,11,Yes
ABCC5,11,Yes
ABCC6,11,Yes
ABCC8,11,Yes
ABCC9,11,Yes
ABCD1,3,Yes
ABCD2,3,Yes
ABCD3,3,Yes
ABCD4,3,Yes
ABCF1,2,Yes
ABCF2,3,Yes
ABCF3,2,Yes
ABCG1,4,Yes
ABCG2,4,Yes
ABCG4,4,Yes
ABCG5,4,Yes
ABCG8,4,Yes
ABHD1,3,Yes
ABHD11,12,Yes
ABHD12,7,Yes
ABHD12B,7,Yes
ABHD13,7,Yes
ABHD14A,12,Yes
ABHD14A-ACY1,4,Yes
ABHD14B,12,Yes
ABHD15,3,Yes
ABHD16A,7,Yes
ABHD16B,7,Yes
ABHD17A,7,Yes
ABHD17B,7,Yes
ABHD17C,7,Yes
ABHD2,3,Yes
ABHD3,3,Yes
ABHD4,12,Yes
ABHD5,12,Yes
ABHD6,12,Yes
ABHD8,12,Yes
ABI1,2,Yes
ABI2,2,Yes
ABI3,2,Yes
ABI3BP,1,Yes
ABL1,32,Yes
ABL2,32,Yes
ABLIM1,3,Yes
ABLIM2,3,Yes
ABLIM3,3,Yes
ABO,3,Yes
ABR,1,Yes
ABRAXAS1,1,Yes
ABRAXAS2,1,Yes
ABTB1,11,Yes
ABTB2,11,Yes
AC000093.1,14,Yes
AC000120.3,2,Yes
AC001226.2,1,Yes
AC002094.3,2,Yes
AC002310.4,39,Yes
AC002985.1,3,Yes
AC002996.1,18,Yes
AC003002.1,41,Yes
AC003002.3,56,Yes
AC003005.1,41,Yes
AC003006.1,56,Yes
AC003112.1,1,Yes
AC003665.1,11,Yes
AC003688.1,24,Yes
AC004076.1,41,Yes
AC004080.3,4,Yes
AC004151.1,2,Yes
AC004156.1,2,Yes
AC004223.3,2,Yes
AC004475.1,1,Yes
AC004551.1,3,Yes
AC004556.1,1,Yes
AC004593.3,5,Yes
AC004687.2,2,Yes
AC004691.2,12,Yes
AC004832.3,7,Yes
AC004922.1,2,Yes
AC004997.1,46,Yes
AC005041.1,1,Yes
AC005154.5,1,Yes
AC005255.1,132,Yes
AC005261.1,41,Yes
AC005324.3,2,Yes
AC005324.4,182,Yes
AC005520.1,18,Yes
AC005670.2,3,Yes
AC005697.1,1,Yes
AC005702.1,8,Yes
AC005726.1,1,Yes
AC005747.1,5,Yes
AC005759.1,22,Yes
AC005832.4,13,Yes
AC005833.1,21,Yes
AC005840.1,21,Yes
AC005943.1,1,Yes
AC005954.1,4,Yes
AC006030.1,5,Yes
AC006059.2,1,Yes
AC006064.6,35,Yes
AC006254.1,3,Yes
AC006486.1,2,Yes
AC006518.7,8,Yes
AC006538.1,2,Yes
AC007040.2,1,Yes
AC007192.1,4,Yes
AC007325.1,1,Yes
AC007325.2,2,Yes
AC007325.4,3,Yes
AC007326.4,3,Yes
AC007731.4,55,Yes
AC008012.1,19,Yes
AC008073.3,2,Yes
AC008397.2,22,Yes
AC008403.1,16,Yes
AC008481.3,38,Yes
AC008554.1,22,Yes
AC008575.1,2,Yes
AC008581.2,1,Yes
AC008676.3,1,Yes
AC008687.1,10,Yes
AC008695.1,26,Yes
AC008736.1,7,Yes
AC008755.1,2,Yes
AC008758.1,22,Yes
AC008758.5,22,Yes
AC008758.6,22,Yes
AC008764.1,1,Yes
AC008770.1,22,Yes
AC008770.2,68,Yes
AC008770.4,22,Yes
