Var1,Freq,,Var1,Freq,,Var1,Freq,,Var1,Freq,,Var1,Freq
COL3A1,226,,FGFR2,27,,CSF1R,13,,ACADS,9,,IVD,7
COL4A5,116,,GJB1,27,,GALNS,13,,ACTA2,9,,JAK2,7
SCN1A,110,,ABCC6,25,,GCDH,13,,ACTB,9,,KRT2,7
COL1A1,105,,MAP2K1,25,,GRIN2B,13,,ACTG1,9,,MAFB,7
COL1A2,97,,NRAS,25,,KRT16,13,,CLCN1,9,,MYH3,7
KCNQ1,76,,FGFR1,24,,KRT6A,13,,COL5A1,9,,PAX3,7
KCNQ2,75,,FLT3,24,,TGFBR1,13,,GABRB3,9,,PDGFRB,7
COL2A1,58,,TGFBR2,23,,ARSA,12,,GJA1,9,,PROC,7
SCN2A,53,,COL6A2,22,,ATP7A,12,,KRT10,9,,TUBB2B,7
SCN5A,51,,HBB,22,,EGFR,12,,KRT12,9,,APC,6
SCN8A,49,,TP63,22,,F9,12,,LHCGR,9,,AVPR2,6
SCN4A,45,,TUBB4A,22,,GRIN1,12,,RS1,9,,CACNA1A,6
TP53,42,,RYR1,21,,GRIN2A,12,,TGM1,9,,CLCN4,6
ATP1A3,41,,FGFR3,20,,KCNQ3,12,,ABCA4,8,,CLCN5,6
BRAF,39,,ABCC8,19,,KRT17,12,,ATP1A2,8,,COL4A2,6
GFAP,39,,KCNJ2,19,,KRT9,12,,BMPR1A,8,,DHCR7,6
ACVRL1,38,,RYR2,19,,LRP5,12,,COL5A2,8,,ERBB2,6
BMPR2,37,,FBN2,18,,AR,11,,GJA8,8,,FSHR,6
COL4A3,35,,KCNQ4,17,,ARSB,11,,GLRA1,8,,GATA4,6
FBN1,35,,PIK3CA,16,,CRB1,11,,KRT1,8,,IDH1,6
HRAS,35,,RAF1,16,,HBA2,11,,KRT5,8,,INSR,6
KRAS,35,,SCN9A,16,,PAX6,11,,THRB,8,,ITPR1,6
GJB2,34,,COL6A1,15,,RET,11,,COL11A1,7,,MYO7A,6
KIT,34,,MAP2K2,15,,ACADVL,10,,CP,7,,NEFL,6
COL4A4,33,,ACTA1,14,,ACTG2,10,,CYP11B1,7,,PIK3R1,6
LDLR,33,,ATP7B,14,,CYP27A1,10,,CYP27B1,7,,SERPINC1,6
LMNA,31,,HBA1,14,,DES,10,,FOXC1,7,,SLC26A4,6
F8,30,,KCNJ11,14,,KRT14,10,,GABRB2,7,,SOX9,6
COL4A1,27,,ACADM,13,,NOTCH3,10,,GATA2,7,,STXBP1,6
